"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"9455","51","yes",NULL,"16077","295","801","60","0.7"
"9456","150","yes",NULL,"16077","295","802","75","0.3"
"9457","70","yes",NULL,"14995","295","773","70","0.6"
"9458","40","yes",NULL,"14995","295","798","50","0.75"
"9459","96","yes",NULL,"13144","295","769","80","0.5"
"9460","150","yes",NULL,"13144","295","789","75","0.3"
"9461","150","yes",NULL,"13144","295","804","75","0.3"
"9462","120",NULL,NULL,"15639",NULL,"1031","80","0.4"
"9463","150",NULL,NULL,"11218",NULL,"1030","75","0.3"
"9464","84","yes",NULL,"16708","295","769","70","0.5"
"9465","130","yes",NULL,"16708","295","791","65","0.3"
"9466","150",NULL,NULL,"11222",NULL,"1028","75","0.3"
"9467","110",NULL,NULL,"11223",NULL,"1027","75","0.4"
"9468","110",NULL,NULL,"11231",NULL,"1027","75","110"
"9469","110",NULL,NULL,"11217",NULL,"1037","75","0.4"
"9470","48","yes",NULL,"10050","295","728","60","0.75"
"9471","48","yes",NULL,"10050","295","729","60","0.75"
"9472","51","yes",NULL,"10050","295","736","60","0.7"
"9473","48","yes",NULL,"10050","295","748","60","0.75"
"9474","60","yes",NULL,"10050","295","801","70","0.7"
"9475","SIDE T/S","yes",NULL,"11550",NULL,NULL,"100","0.6"
"9476","BK RISE","yes",NULL,"11550",NULL,NULL,"150","0.4"
"9477","INSEAM T/S","yes",NULL,"11550",NULL,NULL,"100","0.6"
"9478","150",NULL,NULL,"15640",NULL,"1035","75","0.3"
"9479","132",NULL,NULL,"4798","93","178","77","0.35"
"9480","SLEEVE JOIN","yes",NULL,"11551",NULL,NULL,"100","0.5"
"9481","SIDE O/L","yes",NULL,"11551",NULL,NULL,"120","0.6"
"9482","INSEAM","yes",NULL,"11551",NULL,NULL,"100","0.5"
"9483","COLLER 1/4","yes",NULL,"11749",NULL,NULL,"120","0.5"
"9484","SEFFTY  STC","yes",NULL,"11749",NULL,NULL,"100","0.6"
"9485","MOUTH CLOSE","yes",NULL,"11749",NULL,NULL,"100","0.6"
"9486","SIDE T/S","yes",NULL,"11799",NULL,NULL,"120","0.5"
"9487","COLLER MAKE","yes",NULL,"11799",NULL,NULL,"150","4"
"9488","COLLER T/S","yes",NULL,"11799",NULL,NULL,"133","0.5"
"9489","110",NULL,NULL,"11237",NULL,"1031","75","0.4"
"9490","PKT JOIN","yes",NULL,"11802",NULL,NULL,"100","0.6"
"9491","WEAIST JOIN","yes",NULL,"11802",NULL,NULL,"120","0.5"
"9492","SIDE JOIN","yes",NULL,"11802",NULL,NULL,"120","0.5"
"9493","103",NULL,NULL,"17228","165","198","86","0.5"
"9494","188",NULL,NULL,"17228","168","423","88","0.28"
"9495","SIDE O/L","yes",NULL,"11803",NULL,NULL,"120","0.5"
"9496","PKT 1/4","yes",NULL,"11803",NULL,NULL,"100","0.6"
"9497","FRT RISE","yes",NULL,"11803",NULL,NULL,"150","0.4"
"9498","140",NULL,NULL,"11216",NULL,"1033","80","0.35"
"9499","150",NULL,NULL,"11214",NULL,"1036","75","0.3"
"9500","150",NULL,NULL,"13931",NULL,"1036","75","0.3"
"9501","110",NULL,NULL,"11232",NULL,"1037","75","0.4"
"9502","80",NULL,NULL,"4808","243","304","67","0.5"
"9503","150",NULL,NULL,"11228",NULL,"1034","75","0.3"
"9504","160",NULL,NULL,"16065",NULL,"1032","80","0.3"
"9505","160",NULL,NULL,"12235",NULL,"1040","80","0.3"
"9506","132",NULL,NULL,"4819","86","337","86","0.4"
"9507","160",NULL,NULL,"14049",NULL,"1032","80","0.3"
"9508","150",NULL,NULL,"11242",NULL,"1039","75","0.3"
"9509","81",NULL,NULL,"17229","249","497","81","0.6"
"9510","122",NULL,NULL,"17229","172","201","82","0.4"
"9511","90",NULL,NULL,"11241",NULL,"1038","75","0.5"
"9512","90",NULL,NULL,"15350",NULL,"1038","75","0.5"
"9513","105",NULL,NULL,"17230","172","503","70","0.4"
"9514","78",NULL,NULL,"17230","165","493","65","0.5"
"9515","94",NULL,NULL,"17230","165","277","79","0.4"
"9516","166",NULL,NULL,"4065","86","292","81","0.33"
"9517","121",NULL,NULL,"4007","86","159","68","0.33"
"9518","89",NULL,NULL,"17232","172","388","67","0.45"
"9519","143",NULL,NULL,"17232","172","405","72","0.3"
"9520","121",NULL,NULL,"17232","172","398","81","0.4"
"9521","SIDE T/S","yes",NULL,"11804",NULL,NULL,"120","0.5"
"9522","COLLER MAKE","yes",NULL,"11804",NULL,NULL,"150","0.4"
"9523","COLLER T/S","yes",NULL,"11804",NULL,NULL,"133","0.45"
"9524","BELT JOIN","yes",NULL,"11554",NULL,NULL,"120","0.5"
